Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Lactobacillaceae,TreatmentCONV...TreatmentRWA,0.402140531629733,-0.30198247761467,1.10626354087414,11.1041668933915,1.12144194306452,0.262508785373877,0.345689648039835,-6.3650334742563
Streptococcaceae,TreatmentCONV...TreatmentRWA,0.202301668161107,-0.501821341083296,0.90642467740551,11.0125223682787,0.564154960725704,0.572840869324581,0.654122344026041,-6.83079804656997
Vibrionaceae,TreatmentCONV...TreatmentRWA,4.10855571870071,3.4044327094563,4.81267872794511,8.10804064060097,11.4574541633393,7.7079022554948e-28,1.30263548117862e-25,58.1007659189007
Leuconostocaceae,TreatmentCONV...TreatmentRWA,-0.331284797959491,-1.03540780720389,0.372838211284912,7.21505107638009,-0.923847854942158,0.355904111327711,0.448864140405845,-6.565417282901
Enterobacteriaceae,TreatmentCONV...TreatmentRWA,0.407941042530076,-0.296181966714327,1.11206405177448,7.17923221344149,1.1376177216872,0.255694118490642,0.340254378148964,-6.3469147871927
Pseudomonadaceae,TreatmentCONV...TreatmentRWA,0.826141239521759,0.0973050132910243,1.55497746575249,6.16376239898448,2.22572669618966,0.0263704542823792,0.0512253652151963,-4.49959239286395
Neisseriaceae,TreatmentCONV...TreatmentRWA,0.901390492698293,0.142919524338178,1.65986146105841,5.97445801344506,2.33357355588176,0.0199182509481034,0.0410510293930425,-4.2184465123982
Clostridiaceae,TreatmentCONV...TreatmentRWA,0.757755872097745,-0.00177773188371566,1.5172894760792,5.70862898309558,1.95897909377729,0.0505370673191702,0.0918361760961266,-5.01332703608696
Xanthomonadaceae,TreatmentCONV...TreatmentRWA,-0.0232428256490955,-0.832166100269647,0.785680448971456,4.79620170007085,-0.0564194797232698,0.95502476246641,0.95502476246641,-6.84961306256578
Moraxellaceae,TreatmentCONV...TreatmentRWA,-0.154486680438891,-0.951660983684566,0.642687622806783,4.57930270213319,-0.380526787057969,0.703677197742467,0.752667382395423,-6.79403122821174
Oxalobacteraceae,TreatmentCONV...TreatmentRWA,0.114880593846309,-0.704936901792528,0.934698089485146,4.06383711601507,0.275154723953813,0.783283727037503,0.819817794894421,-6.8005298144859
Lachnospiraceae,TreatmentCONV...TreatmentRWA,0.769325901834038,-0.0718717620333746,1.61052356570145,3.93210050974858,1.79580749770015,0.0729837072279267,0.123342465215196,-5.21916872063992
Rubrobacteraceae,TreatmentCONV...TreatmentRWA,-0.769564034396638,-1.62892805558402,0.0897999867907437,3.54182320536757,-1.75838949001911,0.0791460046689498,0.131134066559338,-5.2645589801042
Micrococcaceae,TreatmentCONV...TreatmentRWA,-0.629343309180389,-1.53835995748217,0.279673339121395,3.40514516480423,-1.35945008409575,0.174469591568506,0.252011632265619,-5.82468519292216
Sinobacteraceae,TreatmentCONV...TreatmentRWA,0.684914439080409,-0.223802923255284,1.5936318014161,3.33098732291424,1.47997704624431,0.139357872674559,0.214104368018185,-5.65625100631361
Listeriaceae,TreatmentCONV...TreatmentRWA,-1.60444445824539,-2.51141573817636,-0.697473178314426,3.27957459675602,-3.47359064393473,0.000547208056076408,0.00181329728386104,-0.788273881868664
Bradyrhizobiaceae,TreatmentCONV...TreatmentRWA,0.604316648660181,-0.340353988090515,1.54898728541088,3.20818148622834,1.25612143434013,0.209517644813955,0.292632082426103,-5.92088794245022
Gaiellaceae,TreatmentCONV...TreatmentRWA,-0.525380179746612,-1.54762939136079,0.496869031867568,3.09291262180746,-1.00917012234137,0.313263918676242,0.398057159821691,-6.12005051270531
Acidobacteriaceae,TreatmentCONV...TreatmentRWA,-0.237171011745812,-1.14571925408725,0.671377230595629,3.0425680811046,-0.512579339903387,0.608417585852911,0.672042954308117,-6.60692086974253
Carnobacteriaceae,TreatmentCONV...TreatmentRWA,-1.15071095906768,-2.05298741376595,-0.248434504369412,3.0133138696032,-2.50422939225488,0.0125126596371596,0.0271107625471792,-3.65042548720185
Ruminococcaceae,TreatmentCONV...TreatmentRWA,-0.380348849901179,-1.26284693022756,0.502149230425203,2.93977253538746,-0.846283399203821,0.397702255836603,0.490596213404276,-6.41174718338405
Staphylococcaceae,TreatmentCONV...TreatmentRWA,-0.376757098017893,-1.32075380504665,0.567239609010863,2.84581113722692,-0.783679429879809,0.433510163876106,0.527073508597567,-6.39624499344261
Sphingomonadaceae,TreatmentCONV...TreatmentRWA,-1.71485317695053,-2.71745270619991,-0.71225364770114,2.7823811045179,-3.35851219628025,0.000828820271448069,0.00259390047916155,-1.09419944977679
Hyphomicrobiaceae,TreatmentCONV...TreatmentRWA,-0.0320859689074107,-1.09611569351376,1.03194375569894,2.75646492836764,-0.0592118842587262,0.95280131773243,0.95502476246641,-6.57934356981013
Rhodospirillaceae,TreatmentCONV...TreatmentRWA,-1.12209097887176,-2.14928968417817,-0.0948922735653503,2.61901107456283,-2.14496935221409,0.032320671204609,0.0600241036657025,-4.35564267479152
Enterococcaceae,TreatmentCONV...TreatmentRWA,0.720046137577615,-0.414325331275749,1.85441760643098,2.59056995448334,1.24638586198589,0.213066202530174,0.295149083832782,-5.75818214464586
Comamonadaceae,TreatmentCONV...TreatmentRWA,0.75170297398603,-0.319705202187871,1.82311115015993,2.55765272632093,1.37764968096898,0.168779735115403,0.245894614090543,-5.6434451875694
[Chthoniobacteraceae],TreatmentCONV...TreatmentRWA,-0.723940340767408,-1.87376744177975,0.425886760244934,2.47742904719423,-1.23628249813757,0.216794588814431,0.297872239915763,-5.75765389541226
