Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Bacteria,TreatmentCONV...TreatmentRWA,0.40105577697055,-0.329397137541997,1.1315086914831,13.7789348699389,1.152590999893,0.263990365437531,0.395985548156296,-6.12722878339478
Unassigned,TreatmentCONV...TreatmentRWA,0.308628987590424,-1.34458922486453,1.96184720004538,10.3115542545078,0.391894534809747,0.69968633512434,0.69968633512434,-6.71528567348128
Archaea,TreatmentCONV...TreatmentRWA,-4.47310351650099,-6.39355224558584,-2.55265478741614,0.839891408097292,-5.5334774493254,0.000945526076700843,0.00283657823010253,-0.197796942615631
