"","FC.199A1in2_concatenated","FC.113A1in2_concatenated","FC.186A1in2_concatenated","FC.143A_concatenated","FC.172A1in2_concatenated","FC.177A1in2_concatenated","FC.112A1in2_concatenated","FC.161A1in2_concatenated","FC.162A_concatenated","FC.122A1in2_concatenated","FC.195A1in2_concatenated","FC.195A_concatenated","FC.134A_concatenated","FC.181A1in2_concatenated","FC.123A_concatenated","FC.133A_concatenated","FC.134A1in2_concatenated","FC.172A_concatenated","FC.181A_concatenated","FC.186A_concatenated","FC.123A1in2_concatenated","FC.162A1in2_concatenated","FC.142A1in2_concatenated","FC.143A1in2_concatenated","FC.161A_concatenated","FC.113A_concatenated","FC.177A_concatenated","FC.122A_concatenated","FC.133A1in2_concatenated","FC.199A_concatenated","FC.142A_concatenated","FC.112A_concatenated"
"SNPconfirmed|RGI|Strict|tetO",0,0,0,0,13.1578947368421,0,20.8333333333334,0,0,0,0,0,0,0,0,0,64.5161290322583,0,0,0,0,0,0,0,0,0,0,14.2857142857143,0,0,0,40.0000000000001
"SNPconfirmed|RGI|Strict|tetQ",16.3934426229509,76.9230769230772,55.5555555555556,0,0,0,427.083333333334,0,0,0,31.2500000000001,0,200.000000000001,47.6190476190478,0,0,96.7741935483875,0,0,105.882352941177,0,0,0,0,0,0,0,0,0,74.6268656716419,0,220.000000000001
"SNPconfirmed|RGI|Strict|tetR",0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNPconfirmed|RGI|Strict|tetS",2098.36065573771,2743.58974358975,2541.66666666667,910.714285714288,77078.9473684212,8.09716599190284,0,39620.6896551725,6420.45454545455,13350.8771929825,484.375000000001,361.111111111112,4542.85714285716,761.904761904764,38.4615384615386,320.000000000002,5096.77419354841,18709.6774193549,1575.75757575758,3941.17647058824,0,7018.18181818183,4545.45454545456,625.000000000002,70837.8378378379,3122.44897959184,3.08641975308642,18885.7142857143,1136.36363636364,1716.41791044776,10980,0
"SNPconfirmed|RGI|Strict|tetW",32.7868852459017,256.410256410257,13.8888888888889,17.8571428571429,92.1052631578949,0,864.583333333334,86.2068965517243,45.4545454545455,210.526315789474,0,0,57.1428571428573,0,0,120.000000000001,129.032258064517,32.2580645161292,30.3030303030304,70.5882352941178,0,0,60.6060606060608,50.0000000000002,216.216216216217,40.8163265306123,0,171.428571428572,102.272727272727,29.8507462686567,120,120
"SNPconfirmed|RGI|Strict|ugd",0,0,0,0,0,8.09716599190284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5135135135135,0,0,0,0,0,0,0
"SNPconfirmed|RGI|Strict|vatF",32.7868852459017,0,194.444444444445,0,0,0,0,0,22.7272727272728,0,0,0,0,0,0,0,0,0,0,529.411764705883,0,0,0,0,0,0,6.17283950617284,0,0,0,0,0
"SNPconfirmed|RGI|Strict|vgaC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.764705882353,0,0,0,0,0,0,0,0,0,0,0,0
"SNPconfirmed|RGI|Strict|y56 beta-lactamase",0,76.9230769230772,486.111111111112,0,52.6315789473685,0,0,0,22.7272727272728,0,0,0,0,0,0,0,0,64.5161290322583,0,1176.4705882353,0,36.3636363636364,0,0,0,20.4081632653061,0,0,0,0,0,0
"Sul|AJ310778.1|gene13|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3076923076925,0,0,0,0,0,0,0,0,0,0,0
"Tet|TetM|U08812|1981-3900|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,0,0,0,0,0,0,7086.20689655174,0,5473.68421052633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10864.8648648649,0,0,7628.57142857144,2409.09090909091,0,0,0
"Tet|TetS|L09756|447-2372|1926|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS",344.262295081968,512.820512820514,0,0,27763.1578947369,0,0,15017.2413793104,2318.18181818182,4789.47368421054,0,0,1485.71428571429,0,0,0,1967.74193548388,7064.51612903229,757.57575757576,952.94117647059,0,2690.9090909091,1424.24242424243,0,26554.0540540541,673.469387755103,0,6328.57142857144,0,432.835820895523,3720.00000000001,0
"Tet|tetC_2_NC_003123|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.865671641791,0,0
"Tet|tetH_1_Y16103|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH",0,0,26000,0,0,0,0,28396.551724138,386.363636363637,0,14375,11888.8888888889,0,0,0,0,0,0,0,24270.5882352942,0,0,0,0,27459.4594594595,0,0,0,0,0,0,0
"Tet|tetH_2_AJ245947|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH",0,0,28583.3333333334,0,263.157894736842,0,0,31465.5172413794,386.363636363637,0,15843.75,12027.7777777778,0,0,0,0,0,0,0,25235.2941176471,0,0,0,0,28810.8108108109,0,0,0,0,0,0,0
"Tet|tetH_3_Y15510|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH",0,0,31041.6666666667,0,0,0,0,34827.5862068966,522.727272727273,0,18484.375,14694.4444444445,0,0,0,0,0,0,0,27105.8823529412,0,290.909090909092,0,0,30797.2972972973,0,0,0,0,0,0,0
"Tet|tetH_4_U00792|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH",0,0,25875,0,0,0,0,28379.3103448276,409.09090909091,0,12703.125,10444.4444444445,0,0,0,0,0,0,0,23988.2352941177,0,0,0,0,27108.1081081082,0,0,0,0,0,0,0
"Tet|tetM_12_FR671418|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,6897.43589743592,4902.77777777779,0,7052.63157894738,0,0,0,0,9614.03508771932,0,0,0,0,0,0,0,2387.09677419356,0,7905.88235294119,0,0,0,0,0,6693.87755102042,0,13442.8571428572,0,0,0,0
"Tet|tetM_13_AM990992|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,4512.82051282053,4069.44444444445,875.000000000002,8776.3157894737,0,0,22827.5862068966,1011.36363636364,20263.1578947369,1375,0,1828.57142857144,0,0,2640.00000000001,2677.41935483872,2258.06451612904,0,5270.58823529413,0,945.454545454547,0,1125,31405.4054054055,4673.46938775511,0,24928.5714285715,8636.36363636365,0,8800.00000000002,0
"Tet|tetM_1_X92947|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,2487.17948717949,2722.22222222223,2375.00000000001,8684.2105263158,0,0,24051.7241379311,1147.72727272727,14912.2807017544,1109.375,0,1657.14285714286,0,0,0,3580.64516129034,2193.54838709678,0,4905.88235294118,0,1109.09090909091,3636.36363636365,2625.00000000001,33932.4324324325,3918.36734693878,0,20085.7142857143,7079.54545454546,0,7600.00000000002,0
"Tet|tetM_2_X90939|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,0,1027.77777777778,0,1947.36842105263,0,0,0,0,4140.35087719299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387.75510204082,0,0,0,0,0,0
"Tet|tetM_4_X75073|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,0,0,0,2328.94736842106,0,0,12137.9310344828,386.363636363637,9578.94736842107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18351.3513513514,1306.12244897959,0,12414.2857142857,3977.27272727273,0,0,0
"Tet|tetM_5_U58985|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,2692.3076923077,1625,0,4684.2105263158,0,0,14379.3103448276,727.272727272728,11403.5087719298,0,0,0,0,0,0,0,0,0,3058.82352941177,0,0,0,0,20689.1891891892,3224.48979591837,0,15614.2857142857,5102.27272727273,0,5680.00000000001,0
"Tet|tetM_6_M21136|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,1025.64102564103,972.222222222224,875.000000000002,3763.15789473685,0,0,35224.1379310346,1386.36363636364,30982.4561403509,0,0,3971.42857142859,0,0,6880.00000000003,5548.38709677422,967.741935483875,0,1494.11764705883,0,1472.72727272728,9060.60606060609,0,39783.7837837838,1887.75510204082,0,32828.5714285715,13500,0,19060,0
"Tet|tetM_7_FN433596|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,1358.97435897436,972.222222222224,910.714285714288,4631.57894736843,0,0,40086.2068965518,1170.45454545455,33350.8771929825,500.000000000001,0,4028.57142857144,0,0,7600.00000000004,6064.51612903228,0,0,1364.70588235294,0,1309.09090909091,10121.2121212122,1125,45202.7027027028,1806.12244897959,0,37314.2857142858,15363.6363636364,0,20380,0
"Tet|tetM_8_X04388|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",5573.77049180329,15769.2307692308,12166.6666666667,0,12973.6842105263,0,0,0,0,9701.75438596493,0,0,0,0,0,0,0,0,0,15823.5294117647,0,0,0,0,0,14551.0204081633,0,11600,0,5447.76119402985,0,0
"Tet|tetM_9_X56353|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,0,2500,1142.85714285715,5605.26315789474,0,0,12017.2413793104,0,7754.3859649123,0,0,0,0,0,0,1612.90322580646,1161.29032258065,0,3435.29411764706,0,800.000000000002,0,1550,19986.4864864865,3142.85714285715,0,10985.7142857143,2943.18181818182,0,2960.00000000001,0
"Tet|tetS_1_DQ377340|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS",639.344262295083,0,0,0,25197.3684210527,0,0,12844.8275862069,1943.18181818182,3473.68421052632,0,0,2000.00000000001,0,0,0,0,6483.87096774196,0,588.235294117648,0,2563.63636363637,1636.36363636364,0,22878.3783783784,540.816326530613,0,5971.42857142858,340.909090909091,425.373134328359,3560.00000000001,0
"Tet|tetS_3_X92946|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS",557.377049180329,0,541.666666666668,0,27723.6842105264,0,0,13431.0344827586,2181.81818181818,4631.57894736843,0,0,1257.14285714286,0,0,0,2096.7741935484,6548.38709677422,0,870.588235294119,0,2236.36363636364,1666.66666666667,0,24675.6756756757,663.26530612245,0,6185.7142857143,340.909090909091,507.462686567165,4100.00000000001,0
"Tet|tetW_1_DQ060146|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW",0,0,0,0,0,0,333.333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gi|347364916|gb|HM569226.2|betalactams|Class_C_betalactamases|CMY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.851851851852,0,0,0,0,0
"gi|698174167|gb|KM087838.1|betalactams|Class_C_betalactamases|CMY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4197530864198,0,0,0,0,0
