"Domain","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Bacteria",7189.84655566438,6938.27160493828,29903.743315508,6914.82811698307,16085.2575488455,12200.9607686149,16769.3175408911,14754.6468401487,18830.8215848323,17073.0253353204,13799.2599444958,9553.72269282212,14196.8680089486,16109.098394401,29109.8829648895,16412.0992761117
"Unassigned",327.456741756448,55.94624160025,998.472116119175,12374.2945100051,1722.91296625222,2993.59487590072,2011.28031584884,1201.98265179678,1646.57267865824,1068.55439642325,1337.65032377428,2997.77084262149,3122.59507829978,1176.6158913133,1226.91807542263,500
"Archaea",49.624551093699,44.2256602594155,0,3.84812724474089,0,0,0,0,0,0,0,0,0,0,0,0
